"lang","trialid","ianum","ia","total_rt","gaze_rt","firstfix_rt","model_ia","freq","surp","ent","model","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_ent","prev2_ent"
"ko",1,1,"고대",298.190476190476,167.47619047619,137.619047619048,"고대",2.95e-05,10.5170965457059,8.76905250549316,"mgpt_lc",2,NA,NA,NA,NA,NA,NA,NA,NA
"ko",1,2,"로마의",891.285714285714,373.47619047619,219.238095238095,"로마의",4.06e-05,12.322540601635,15.4737935066223,"mgpt_lc",3,10.5170965457059,NA,2.95e-05,NA,2,NA,8.76905250549316,NA
"ko",1,3,"종교와",686.095238095238,249.857142857143,186.857142857143,"종교와",6.63e-05,13.2449540687434,17.017516374588,"mgpt_lc",3,12.322540601635,10.5170965457059,4.06e-05,2.95e-05,3,2,15.4737935066223,8.76905250549316
"ko",1,4,"신화에서",630.571428571429,299.190476190476,203.52380952381,"신화에서",4.44e-05,11.4697077723256,15.8196003437042,"mgpt_lc",4,13.2449540687434,12.322540601635,6.63e-05,4.06e-05,3,3,17.017516374588,15.4737935066223
"ko",1,5,"야누스는",659.904761904762,294.285714285714,207.47619047619,"야누스는",0,21.4276463269395,16.113098859787,"mgpt_lc",4,11.4697077723256,13.2449540687434,4.44e-05,6.63e-05,4,3,15.8196003437042,17.017516374588
"ko",1,6,"시작과",887.952380952381,319.666666666667,215.238095238095,"시작과",0.000605,16.8588533622351,13.8913702964783,"mgpt_lc",3,21.4276463269395,11.4697077723256,0,4.44e-05,4,4,16.113098859787,15.8196003437042
"ko",1,7,"문의",676.571428571429,269.904761904762,211.47619047619,"문의",3.39e-05,19.7701467343044,5.78704166412354,"mgpt_lc",2,16.8588533622351,21.4276463269395,0.000605,0,3,4,13.8913702964783,16.113098859787
"ko",1,8,"신으로",424.428571428571,159.380952380952,159.380952380952,"신으로",0.000635,8.67760340348999,13.3362708091736,"mgpt_lc",3,19.7701467343044,16.8588533622351,3.39e-05,0.000605,2,3,5.78704166412354,13.8913702964783
"ko",1,9,"여겨졌다.",243.047619047619,133.904761904762,126.857142857143,"여겨졌다.",2.63e-06,5.11177066397207,9.54071080684662,"mgpt_lc",5,8.67760340348999,19.7701467343044,0.000635,3.39e-05,3,2,13.3362708091736,5.78704166412354
"ko",1,10,"그는",107.666666666667,92.5238095238095,82.3333333333333,"그는",0.00324,5.17106765510712,6.62051677703857,"mgpt_lc",2,5.11177066397207,8.67760340348999,2.63e-06,0.000635,5,3,9.54071080684662,13.3362708091736
