"lang","trialid","ianum","ia","total_rt","gaze_rt","firstfix_rt","model_ia","freq","surp","ent","model","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_ent","prev2_ent"
"du",1,1,"Janus",466.148148148148,210.555555555556,157.222222222222,"Janus",1.55e-06,7.63290750914606,9.58330345153809,"mgpt_lc",5,NA,NA,NA,NA,NA,NA,NA,NA
"du",1,2,"is",410.461538461538,274.461538461538,229.192307692308,"is",0.0158,8.36470201521887,10.7462148666382,"mgpt_lc",2,7.63290750914606,NA,1.55e-06,NA,5,NA,9.58330345153809,NA
"du",1,3,"in",484.708333333333,296.5,274.166666666667,"in",0.0229,6.20201755388701,7.77442741394043,"mgpt_lc",2,8.36470201521887,7.63290750914606,0.0158,1.55e-06,2,5,10.7462148666382,9.58330345153809
"du",1,4,"de",390.85,215.5,199.2,"de",0.0537,3.4168046135942,8.56459045410156,"mgpt_lc",2,6.20201755388701,8.36470201521887,0.0229,0.0158,2,2,7.77442741394043,10.7462148666382
"du",1,5,"oude",366,214.142857142857,207.047619047619,"oude",0.000324,9.47761087392464,9.95626831054688,"mgpt_lc",4,3.4168046135942,6.20201755388701,0.0537,0.0229,2,2,8.56459045410156,7.77442741394043
"du",1,6,"Romeinse",545.035714285714,209.107142857143,184.642857142857,"Romeinse",1.17e-05,5.62231047633293,8.76570320129395,"mgpt_lc",8,9.47761087392464,3.4168046135942,0.000324,0.0537,4,2,9.95626831054688,8.56459045410156
"du",1,7,"religie",534.925925925926,284.962962962963,231.148148148148,"religie",2.82e-05,9.02532949535616,6.98551368713379,"mgpt_lc",7,5.62231047633293,9.47761087392464,1.17e-05,0.000324,8,4,8.76570320129395,9.95626831054688
"du",1,8,"en",296.833333333333,241.083333333333,210.5,"en",0.0251,5.90501159793542,4.65026044845581,"mgpt_lc",2,9.02532949535616,5.62231047633293,2.82e-05,1.17e-05,7,8,6.98551368713379,8.76570320129395
"du",1,9,"mythes",617.148148148148,331.259259259259,274.111111111111,"mythes",1.48e-06,14.9923309892101,7.03170165419579,"mgpt_lc",6,5.90501159793542,9.02532949535616,0.0251,2.82e-05,2,7,4.65026044845581,6.98551368713379
"du",1,10,"de",280.692307692308,194.461538461538,194.461538461538,"de",0.0537,3.32372350660161,5.57392072677612,"mgpt_lc",2,14.9923309892101,5.90501159793542,1.48e-06,0.0251,6,2,7.03170165419579,4.65026044845581
