"lang","trialid","ianum","ia","total_rt","gaze_rt","firstfix_rt","model_ia","freq","surp","ent","model","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_ent","prev2_ent"
"en",1,1,"In",194.533333333333,133.333333333333,114.6,"In",0.0186,0,0,"mgpt_lc",2,NA,NA,NA,NA,NA,NA,NA,NA
"en",1,2,"ancient",632,331.108108108108,209.783783783784,"ancient",4.79e-05,16.1158551056241,10.0423259735107,"mgpt_lc",7,0,NA,0.0186,NA,2,NA,0,NA
"en",1,3,"Roman",545.305555555556,272.472222222222,207.027777777778,"Roman",3.16e-05,6.92069898800172,4.08594369888306,"mgpt_lc",5,16.1158551056241,0,4.79e-05,0.0186,7,2,10.0423259735107,0
"en",1,4,"religion",683.684210526316,298.078947368421,225.973684210526,"religion",5.5e-05,8.67995214347113,3.66332268714905,"mgpt_lc",8,6.92069898800172,16.1158551056241,3.16e-05,4.79e-05,5,7,4.08594369888306,10.0423259735107
"en",1,5,"and",327.85,246.75,232,"and",0.0257,5.17008839421283,3.46885967254639,"mgpt_lc",3,8.67995214347113,6.92069898800172,5.5e-05,3.16e-05,8,5,3.66332268714905,4.08594369888306
"en",1,6,"myth,",509.675675675676,286.675675675676,265.189189189189,"myth,",1.2e-05,5.7466796490171,10.1768743991852,"mgpt_lc",5,5.17008839421283,8.67995214347113,0.0257,5.5e-05,3,8,3.46885967254639,3.66332268714905
"en",1,7,"Janus",596.378378378378,318.864864864865,248,"Janus",1.05e-06,14.1750380777853,10.4429488182068,"mgpt_lc",5,5.7466796490171,5.17008839421283,1.2e-05,0.0257,5,3,10.1768743991852,3.46885967254639
"en",1,8,"is",272.178571428571,193.428571428571,193.428571428571,"is",0.0117,3.28254352233465,4.27707052230835,"mgpt_lc",2,14.1750380777853,5.7466796490171,1.05e-06,1.2e-05,5,5,10.4429488182068,10.1768743991852
"en",1,9,"the",382.68,224.48,205.84,"the",0.0537,1.45207420422554,4.405921459198,"mgpt_lc",3,3.28254352233465,14.1750380777853,0.0117,1.05e-06,2,5,4.27707052230835,10.4429488182068
"en",1,10,"god",396.269230769231,231.5,213.769230769231,"god",0.000372,1.27160892191589,6.01429796218872,"mgpt_lc",3,1.45207420422554,3.28254352233465,0.0537,0.0117,3,2,4.405921459198,4.27707052230835
"en",1,11,"of",258.714285714286,208.952380952381,199,"of",0.0251,0.308515132646727,1.50834834575653,"mgpt_lc",2,1.27160892191589,1.45207420422554,0.000372,0.0537,3,3,6.01429796218872,4.405921459198
"en",1,12,"beginnings",694.594594594595,330.594594594595,229.432432432432,"beginnings",4.37e-06,13.654429104686,9.42848074436188,"mgpt_lc",10,0.308515132646727,1.27160892191589,0.0251,0.000372,2,3,1.50834834575653,6.01429796218872
"en",1,13,"and",374.769230769231,256.384615384615,217.076923076923,"and",0.0257,1.31458036948796,2.20700931549072,"mgpt_lc",3,13.654429104686,0.308515132646727,4.37e-06,0.0251,10,2,9.42848074436188,1.50834834575653
"en",1,14,"gates.",484.428571428571,333.628571428571,243.657142857143,"gates.",2e-05,15.6983050329756,10.1340854167938,"mgpt_lc",6,1.31458036948796,13.654429104686,0.0257,4.37e-06,3,10,2.20700931549072,9.42848074436188
"en",1,15,"He",264.823529411765,214.705882352941,214.705882352941,"He",0.0049,1.80179973506728,4.95827150344849,"mgpt_lc",2,15.6983050329756,1.31458036948796,2e-05,0.0257,6,3,10.1340854167938,2.20700931549072
"en",1,16,"has",335.185185185185,226,211.407407407407,"has",0.00234,5.53424105752795,3.53965520858765,"mgpt_lc",3,1.80179973506728,15.6983050329756,0.0049,2e-05,2,6,4.95827150344849,10.1340854167938
"en",1,17,"a",265.714285714286,220.285714285714,220.285714285714,"a",0.0229,2.88855370220706,5.86891555786133,"mgpt_lc",1,5.53424105752795,1.80179973506728,0.00234,0.0049,3,2,3.53965520858765,4.95827150344849
"en",1,18,"double",374.96,249.32,218.16,"double",0.000102,6.42418022737389,8.97891139984131,"mgpt_lc",6,2.88855370220706,5.53424105752795,0.0229,0.00234,1,3,5.86891555786133,3.53965520858765
"en",1,19,"nature",397.241379310345,256.689655172414,216.275862068966,"nature",9.55e-05,4.99799916607096,6.90109491348267,"mgpt_lc",6,6.42418022737389,2.88855370220706,0.000102,0.0229,6,1,8.97891139984131,5.86891555786133
"en",1,20,"and",309.84,232.76,223.24,"and",0.0257,3.66986078702748,3.08580732345581,"mgpt_lc",3,4.99799916607096,6.42418022737389,9.55e-05,0.000102,6,6,6.90109491348267,8.97891139984131
"en",1,21,"is",353.041666666667,207.458333333333,176.5,"is",0.0117,1.72159563351041,6.18430805206299,"mgpt_lc",2,3.66986078702748,4.99799916607096,0.0257,9.55e-05,3,6,3.08580732345581,6.90109491348267
