"lang","trialid","ianum","ia","total_rt","gaze_rt","firstfix_rt","model_ia","freq","surp","ent","model","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_ent","prev2_ent"
"gr",1,1,"Στην",196.107142857143,186.607142857143,168.428571428571,"Στην",0.00776,0,0,"mgpt_lc",4,NA,NA,NA,NA,NA,NA,NA,NA
"gr",1,2,"αρχαία",370.388888888889,291.888888888889,192.194444444444,"αρχαία",6.61e-05,8.85681371967154,8.53480356931686,"mgpt_lc",6,0,NA,0.00776,NA,4,NA,0,NA
"gr",1,3,"ρωμαϊκή",371.277777777778,286.694444444444,219.916666666667,"ρωμαϊκή",5.62e-06,9.42890149237322,5.99581466242671,"mgpt_lc",7,8.85681371967154,0,6.61e-05,0.00776,6,4,8.53480356931686,0
"gr",1,4,"θρησκεία",322.805555555556,269.277777777778,211.333333333333,"θρησκεία",2.88e-05,9.30152608119747,7.48092639446259,"mgpt_lc",8,9.42890149237322,8.85681371967154,5.62e-06,6.61e-05,7,6,5.99581466242671,8.53480356931686
"gr",1,5,"και",237.409090909091,215.954545454545,215.954545454545,"και",0.0324,4.58191976989571,4.24919080734253,"mgpt_lc",3,9.30152608119747,9.42890149237322,2.88e-05,5.62e-06,8,7,7.48092639446259,5.99581466242671
"gr",1,6,"μυθολογία,",454.611111111111,372.083333333333,247.694444444444,"μυθολογία,",7.94e-06,6.1512428556532,11.0356800593436,"mgpt_lc",10,4.58191976989571,9.30152608119747,0.0324,2.88e-05,3,8,4.24919080734253,7.48092639446259
"gr",1,7,"ο",294,294,294,"ο",0.0138,1.8518727324756,4.45749711990356,"mgpt_lc",1,6.1512428556532,4.58191976989571,7.94e-06,0.0324,10,3,11.0356800593436,4.24919080734253
"gr",1,8,"Ιανός",526.828571428571,408.971428571429,340.685714285714,"Ιανός",0,12.1850983561119,11.8266882896423,"mgpt_lc",5,1.8518727324756,6.1512428556532,0.0138,7.94e-06,1,10,4.45749711990356,11.0356800593436
"gr",1,9,"ήταν",348.931034482759,257.655172413793,243.413793103448,"ήταν",0.00363,1.14282595961289,4.27038431167603,"mgpt_lc",4,12.1850983561119,1.8518727324756,0,0.0138,5,1,11.8266882896423,4.45749711990356
"gr",1,10,"ο",235.4,235.4,235.4,"ο",0.0138,1.25860594894492,4.10758638381958,"mgpt_lc",1,1.14282595961289,12.1850983561119,0.00363,0,4,5,4.27038431167603,11.8266882896423
"gr",1,11,"θεός",247.233333333333,196.7,191.833333333333,"θεός",0.000107,2.41435004337563,6.7737894654274,"mgpt_lc",4,1.25860594894492,1.14282595961289,0.0138,0.00363,1,4,4.10758638381958,4.27038431167603
"gr",1,12,"των",230.894736842105,188.789473684211,180.421052631579,"των",0.00708,2.42950532259985,2.97938346862793,"mgpt_lc",3,2.41435004337563,1.25860594894492,0.000107,0.0138,4,1,6.7737894654274,4.10758638381958
"gr",1,13,"εκκινήσεων",677.333333333333,468.055555555556,208.277777777778,"εκκινήσεων",0,20.7504458762448,13.7429974377155,"mgpt_lc",10,2.42950532259985,2.41435004337563,0.00708,0.000107,3,4,2.97938346862793,6.7737894654274
"gr",1,14,"και",211.333333333333,188.75,179.083333333333,"και",0.0324,1.28556853029686,2.95668983459473,"mgpt_lc",3,20.7504458762448,2.42950532259985,0,0.00708,10,3,13.7429974377155,2.97938346862793
"gr",1,15,"των",264.95,226.45,208.1,"των",0.00708,0.989361093189414,3.57609248161316,"mgpt_lc",3,1.28556853029686,20.7504458762448,0.0324,0,3,10,2.95668983459473,13.7429974377155
"gr",1,16,"μεταβάσεων.",771.222222222222,511.916666666667,252.944444444444,"μεταβάσεων.",0,15.8020870223508,12.9595807492733,"mgpt_lc",11,0.989361093189414,1.28556853029686,0.00708,0.0324,3,3,3.57609248161316,2.95668983459473
"gr",1,17,"Είχε",314.375,271.625,207.09375,"Είχε",0.00107,6.71171130229303,9.97909221053124,"mgpt_lc",4,15.8020870223508,0.989361093189414,0,0.00708,11,3,12.9595807492733,3.57609248161316
"gr",1,18,"διπλή",345.483870967742,262.258064516129,217.58064516129,"διπλή",2.29e-05,10.8295287256588,12.2546594142914,"mgpt_lc",5,6.71171130229303,15.8020870223508,0.00107,0,4,11,9.97909221053124,12.9595807492733
"gr",1,19,"φύση",350.21875,335.09375,290.78125,"φύση",6.31e-05,3.67250817396264,5.31112357228994,"mgpt_lc",4,10.8295287256588,6.71171130229303,2.29e-05,0.00107,5,4,12.2546594142914,9.97909221053124
"gr",1,20,"και",223,164.615384615385,164.615384615385,"και",0.0324,3.13789570609365,3.14668917655945,"mgpt_lc",3,3.67250817396264,10.8295287256588,6.31e-05,2.29e-05,4,5,5.31112357228994,12.2546594142914
"gr",1,21,"συνήθως",386.611111111111,240.305555555556,215.722222222222,"συνήθως",0.000155,10.0429975372322,11.3552494049072,"mgpt_lc",7,3.13789570609365,3.67250817396264,0.0324,6.31e-05,3,4,3.14668917655945,5.31112357228994
"gr",1,22,"απεικονιζόταν",586.361111111111,425.111111111111,212.666666666667,"απεικονιζόταν",0,5.55775826710327,7.72079624654725,"mgpt_lc",13,10.0429975372322,3.13789570609365,0.000155,0.0324,7,3,11.3552494049072,3.14668917655945
"gr",1,23,"με",248.058823529412,216.117647058824,205.352941176471,"με",0.0166,2.12414268083181,4.3332462310791,"mgpt_lc",2,5.55775826710327,10.0429975372322,0,0.000155,13,7,7.72079624654725,11.3552494049072
"gr",1,24,"δύο",295.379310344828,263.51724137931,235.034482758621,"δύο",0.00117,3.29105885010524,5.8576488494873,"mgpt_lc",3,2.12414268083181,5.55775826710327,0.0166,0,2,13,4.3332462310791,7.72079624654725
"gr",1,25,"πρόσωπα,",346.941176470588,299.382352941176,221.058823529412,"πρόσωπα,",7.08e-05,8.31423485278552,10.7427834048867,"mgpt_lc",8,3.29105885010524,2.12414268083181,0.00117,0.0166,3,2,5.8576488494873,4.3332462310791
"gr",1,26,"αφού",306.090909090909,221.181818181818,211.939393939394,"αφού",0.000372,8.32338668590571,6.05051708221436,"mgpt_lc",4,8.31423485278552,3.29105885010524,7.08e-05,0.00117,8,3,10.7427834048867,5.8576488494873
"gr",1,27,"κοιτούσε",418.6,294,207.114285714286,"κοιτούσε",5.89e-06,12.9998421077602,10.8121069669724,"mgpt_lc",8,8.32338668590571,8.31423485278552,0.000372,7.08e-05,4,8,6.05051708221436,10.7427834048867
"gr",1,28,"ταυτόχρονα",354.944444444444,305.583333333333,235.416666666667,"ταυτόχρονα",8.91e-05,12.441683067447,11.0269284960814,"mgpt_lc",10,12.9998421077602,8.32338668590571,5.89e-06,0.000372,8,4,10.8121069669724,6.05051708221436
"gr",1,29,"στο",260.416666666667,217.25,206.083333333333,"στο",0.00977,5.70782429047355,4.75989675521851,"mgpt_lc",3,12.441683067447,12.9998421077602,8.91e-05,5.89e-06,10,8,11.0269284960814,10.8121069669724
"gr",1,30,"μέλλον",364.6875,287.1875,248.0625,"μέλλον",0.000126,9.91981990363606,8.38493330590427,"mgpt_lc",6,5.70782429047355,12.441683067447,0.00977,8.91e-05,3,10,4.75989675521851,11.0269284960814
"gr",1,31,"και",222.214285714286,212.5,189.071428571429,"και",0.0324,1.67678838497123,2.7924542427063,"mgpt_lc",3,9.91981990363606,5.70782429047355,0.000126,0.00977,6,3,8.38493330590427,4.75989675521851
"gr",1,32,"στο",241.3,218.35,218.35,"στο",0.00977,2.14724201304093,4.51968955993652,"mgpt_lc",3,1.67678838497123,9.91981990363606,0.0324,0.000126,3,6,2.7924542427063,8.38493330590427
"gr",1,33,"παρελθόν.",389.852941176471,305.911764705882,214.352941176471,"παρελθόν.",9.33e-05,1.16549474668815,3.96017229382414,"mgpt_lc",9,2.14724201304093,1.67678838497123,0.00977,0.0324,3,3,4.51968955993652,2.7924542427063
"gr",1,34,"Ο",246.7,246.7,246.7,"Ο",0.0138,3.06751542984471,5.17288684844971,"mgpt_lc",1,1.16549474668815,2.14724201304093,9.33e-05,0.00977,9,3,3.96017229382414,4.51968955993652
"gr",1,35,"Ιανός",365.774193548387,359.774193548387,303.451612903226,"Ιανός",0,0.9962223730711,4.87628918327391,"mgpt_lc",5,3.06751542984471,1.16549474668815,0.0138,9.33e-05,1,9,5.17288684844971,3.96017229382414
"gr",1,36,"παρακολουθούσε",585.527777777778,515.75,158.833333333333,"παρακολουθούσε",6.61e-06,13.7297757155997,10.9724340438843,"mgpt_lc",14,0.9962223730711,3.06751542984471,0,0.0138,5,1,4.87628918327391,5.17288684844971
"gr",1,37,"την",347.12,277.6,269.44,"την",0.0162,3.08169394627554,4.92233657836914,"mgpt_lc",3,13.7297757155997,0.9962223730711,6.61e-06,0,14,5,10.9724340438843,4.87628918327391
"gr",1,38,"αρχή",350,220.142857142857,215.75,"αρχή",2e-04,8.87663751480278,6.43699795007706,"mgpt_lc",4,3.08169394627554,13.7297757155997,0.0162,6.61e-06,3,14,4.92233657836914,10.9724340438843
"gr",1,39,"και",272.380952380952,251.428571428571,212.619047619048,"και",0.0324,1.30974470885055,3.09835290908813,"mgpt_lc",3,8.87663751480278,3.08169394627554,2e-04,0.0162,4,3,6.43699795007706,4.92233657836914
"gr",1,40,"το",271.285714285714,242.761904761905,200.809523809524,"το",0.0302,1.91131202954733,3.24219083786011,"mgpt_lc",2,1.30974470885055,8.87663751480278,0.0324,2e-04,3,4,3.09835290908813,6.43699795007706
"gr",1,41,"τέλος",200.423076923077,185.692307692308,180.538461538462,"τέλος",0.000447,0.0451476861325745,0.346437871456146,"mgpt_lc",5,1.91131202954733,1.30974470885055,0.0302,0.0324,2,3,3.24219083786011,3.09835290908813
"gr",1,42,"μιας",238.862068965517,221.344827586207,208.862068965517,"μιας",0.000302,5.91840376474446,3.4561824798584,"mgpt_lc",4,0.0451476861325745,1.91131202954733,0.000447,0.0302,5,2,0.346437871456146,3.24219083786011
"gr",1,43,"σύγκρουσης",509.147058823529,317.235294117647,193.617647058824,"σύγκρουσης",8.51e-06,10.914207980862,7.94672104157507,"mgpt_lc",10,5.91840376474446,0.0451476861325745,0.000302,0.000447,4,5,3.4561824798584,0.346437871456146
"gr",1,44,"και",327.294117647059,279.529411764706,258.352941176471,"και",0.0324,2.23670910515499,3.8563973903656,"mgpt_lc",3,10.914207980862,5.91840376474446,8.51e-06,0.000302,10,4,7.94672104157507,3.4561824798584
"gr",1,45,"κατ’",251.4,216.8,214.5,"κατ’",7.24e-05,14.3767378215376,12.3242104053497,"mgpt_lc",4,2.23670910515499,10.914207980862,0.0324,8.51e-06,3,10,3.8563973903656,7.94672104157507
"gr",1,46,"επέκταση",346.694444444444,258.916666666667,214.777777777778,"επέκταση",3.8e-05,0.411030016603951,1.96798496786505,"mgpt_lc",8,14.3767378215376,2.23670910515499,7.24e-05,0.0324,4,3,12.3242104053497,3.8563973903656
"gr",1,47,"τον",233.25,233.25,228,"τον",0.0102,5.81822565145286,5.87881755828857,"mgpt_lc",3,0.411030016603951,14.3767378215376,3.8e-05,7.24e-05,8,4,1.96798496786505,12.3242104053497
"gr",1,48,"πόλεμο",338.71875,288.71875,232.53125,"πόλεμο",0.000123,6.58154701772651,7.97911024093628,"mgpt_lc",6,5.81822565145286,0.411030016603951,0.0102,3.8e-05,3,8,5.87881755828857,1.96798496786505
"gr",1,49,"και",199.764705882353,199.764705882353,199.764705882353,"και",0.0324,3.52327258127451,3.29641056060791,"mgpt_lc",3,6.58154701772651,5.81822565145286,0.000123,0.0102,6,3,7.97911024093628,5.87881755828857
"gr",1,50,"την",269.666666666667,260.333333333333,252.428571428571,"την",0.0162,1.47445553450022,3.67578291893005,"mgpt_lc",3,3.52327258127451,6.58154701772651,0.0324,0.000123,3,6,3.29641056060791,7.97911024093628
"gr",1,51,"ειρήνη.",352.030303030303,297.545454545455,234.151515151515,"ειρήνη.",5.62e-05,6.30842486323351,9.56667848024517,"mgpt_lc",7,1.47445553450022,3.52327258127451,0.0162,0.0324,3,3,3.67578291893005,3.29641056060791
"gr",1,52,"Οι",274.1,228.9,206.3,"Οι",0.00741,4.64385555021438,5.1218204498291,"mgpt_lc",2,6.30842486323351,1.47445553450022,5.62e-05,0.0162,7,3,9.56667848024517,3.67578291893005
"gr",1,53,"πόρτες",429.794117647059,366.382352941176,247.235294117647,"πόρτες",2.63e-05,15.5236494809906,8.42362731695175,"mgpt_lc",6,4.64385555021438,6.30842486323351,0.00741,5.62e-05,2,7,5.1218204498291,9.56667848024517
"gr",1,54,"του",228.318181818182,215.681818181818,191,"του",0.0191,1.4922683786448,3.78098249435425,"mgpt_lc",3,15.5236494809906,4.64385555021438,2.63e-05,0.00741,6,2,8.42362731695175,5.1218204498291
"gr",1,55,"ναού",459.96875,431.5625,347.9375,"ναού",2e-05,6.52229756285883,6.43633132427931,"mgpt_lc",4,1.4922683786448,15.5236494809906,0.0191,2.63e-05,3,6,3.78098249435425,8.42362731695175
"gr",1,56,"του",288.967741935484,229.451612903226,186.903225806452,"του",0.0191,1.34585130665447,4.76554393768311,"mgpt_lc",3,6.52229756285883,1.4922683786448,2e-05,0.0191,4,3,6.43633132427931,3.78098249435425
"gr",1,57,"ήταν",328.78125,213.3125,174.46875,"ήταν",0.00363,4.50209214013397,5.50542640686035,"mgpt_lc",4,1.34585130665447,6.52229756285883,0.0191,2e-05,3,4,4.76554393768311,6.43633132427931
"gr",1,58,"ανοιχτές",345.194444444444,246.138888888889,199.972222222222,"ανοιχτές",8.91e-06,2.1444721161103,6.27324414253235,"mgpt_lc",8,4.50209214013397,1.34585130665447,0.00363,0.0191,4,3,5.50542640686035,4.76554393768311
"gr",1,59,"σε",218.538461538462,199.692307692308,199.692307692308,"σε",0.011,4.90994041437348,4.21712064743042,"mgpt_lc",2,2.1444721161103,4.50209214013397,8.91e-06,0.00363,8,4,6.27324414253235,5.50542640686035
"gr",1,60,"περιόδους",447.722222222222,327.611111111111,241.638888888889,"περιόδους",1.78e-05,11.8956555274834,7.8331955242902,"mgpt_lc",9,4.90994041437348,2.1444721161103,0.011,8.91e-06,2,8,4.21712064743042,6.27324414253235
"gr",1,61,"πολέμου",374.194444444444,259.5,223.833333333333,"πολέμου",7.24e-05,3.15881435923558,7.04019302129745,"mgpt_lc",7,11.8956555274834,4.90994041437348,1.78e-05,0.011,9,2,7.8331955242902,4.21712064743042
"gr",1,62,"και",186.818181818182,186.818181818182,178.909090909091,"και",0.0324,1.4110100183284,2.88945579528809,"mgpt_lc",3,3.15881435923558,11.8956555274834,7.24e-05,1.78e-05,7,9,7.04019302129745,7.8331955242902
"gr",1,63,"κλειστές",404.111111111111,319.694444444444,233.944444444444,"κλειστές",5.25e-06,14.5691358585643,12.7131180763245,"mgpt_lc",8,1.4110100183284,3.15881435923558,0.0324,7.24e-05,3,7,2.88945579528809,7.04019302129745
"gr",1,64,"σε",219.833333333333,219.833333333333,191.333333333333,"σε",0.011,0.742585395706202,2.88437509536743,"mgpt_lc",2,14.5691358585643,1.4110100183284,5.25e-06,0.0324,8,3,12.7131180763245,2.88945579528809
"gr",1,65,"περιόδους",465.861111111111,300.333333333333,234.638888888889,"περιόδους",1.78e-05,0.853284879093765,3.31697985844221,"mgpt_lc",9,0.742585395706202,14.5691358585643,0.011,5.25e-06,2,8,2.88437509536743,12.7131180763245
