"lang","trialid","ianum","ia","total_rt","gaze_rt","firstfix_rt","model_ia","freq","surp","ent","model","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_ent","prev2_ent"
"he",1,1,"במיתולוגיה",862.342105263158,291.157894736842,170.5,"במיתולוגיה",1.51e-06,10.3358633695746,10.4604849815369,"mgpt_lc",10,NA,NA,NA,NA,NA,NA,NA,NA
"he",1,2,"ובדת",501.875,249.84375,193.28125,"ובדת",3.24e-07,14.7251521606955,9.37563610076904,"mgpt_lc",4,10.3358633695746,NA,1.51e-06,NA,10,NA,10.4604849815369,NA
"he",1,3,"הרומית",836.5,303.236842105263,207.973684210526,"הרומית",1.2e-05,9.62054134287283,8.27143716812134,"mgpt_lc",6,14.7251521606955,10.3358633695746,3.24e-07,1.51e-06,4,10,9.37563610076904,10.4604849815369
"he",1,4,"העתיקה,",620.21052631579,243.684210526316,218.368421052632,"העתיקה,",4.9e-05,7.10049186045767,9.94759567826986,"mgpt_lc",7,9.62054134287283,14.7251521606955,1.2e-05,3.24e-07,6,4,8.27143716812134,9.37563610076904
"he",1,5,"יאנוס",595.205882352941,299.470588235294,245.205882352941,"יאנוס",1.38e-06,17.6333996498946,18.283205986023,"mgpt_lc",5,7.10049186045767,9.62054134287283,4.9e-05,1.2e-05,7,6,9.94759567826986,8.27143716812134
"he",1,6,"הוא",505.6,216,201.933333333333,"הוא",0.00759,3.49038698269846,6.2307538986206,"mgpt_lc",3,17.6333996498946,7.10049186045767,1.38e-06,4.9e-05,5,7,18.283205986023,9.94759567826986
"he",1,7,"אל",358.483870967742,213.290322580645,201.41935483871,"אל",0.00229,4.70198317410753,6.74155473709106,"mgpt_lc",2,3.49038698269846,17.6333996498946,0.00759,1.38e-06,3,5,6.2307538986206,18.283205986023
"he",1,8,"ההתחלה",1154.68421052632,284.342105263158,219.342105263158,"ההתחלה",1.86e-05,19.5204821762428,13.668794631958,"mgpt_lc",6,4.70198317410753,3.49038698269846,0.00229,0.00759,2,3,6.74155473709106,6.2307538986206
"he",1,9,"והשערים.",1268.60526315789,341.447368421053,221.131578947368,"והשערים.",4.17e-07,21.861680847226,17.7728116512299,"mgpt_lc",8,19.5204821762428,4.70198317410753,1.86e-05,0.00229,6,2,13.668794631958,6.74155473709106
"he",1,10,"יש",243.153846153846,193.923076923077,193.923076923077,"יש",0.00389,6.64461610173648,6.13031959533691,"mgpt_lc",2,21.861680847226,19.5204821762428,4.17e-07,1.86e-05,8,6,17.7728116512299,13.668794631958
"he",1,11,"לו",388.769230769231,244.076923076923,218.346153846154,"לו",0.00214,4.78317866796414,6.34668636322021,"mgpt_lc",2,6.64461610173648,21.861680847226,0.00389,4.17e-07,2,8,6.13031959533691,17.7728116512299
"he",1,12,"טבע",491.181818181818,244.606060606061,215.848484848485,"טבע",6.92e-05,8.30202061920167,7.16476535797119,"mgpt_lc",3,4.78317866796414,6.64461610173648,0.00214,0.00389,2,2,6.34668636322021,6.13031959533691
"he",1,13,"כפול",583.361111111111,327.138888888889,268.805555555556,"כפול",4.37e-05,11.3633974980052,12.2711639404297,"mgpt_lc",4,8.30202061920167,4.78317866796414,6.92e-05,0.00214,3,2,7.16476535797119,6.34668636322021
"he",1,14,"והוא",294.541666666667,209.25,203.833333333333,"והוא",0.000537,6.45450085230339,5.22813177108765,"mgpt_lc",4,11.3633974980052,8.30202061920167,4.37e-05,6.92e-05,4,3,12.2711639404297,7.16476535797119
"he",1,15,"מוצג",632.555555555556,319.777777777778,226.972222222222,"מוצג",1.07e-05,9.37145589058029,9.56169438362122,"mgpt_lc",4,6.45450085230339,11.3633974980052,0.000537,4.37e-05,4,4,5.22813177108765,12.2711639404297
"he",1,16,"בדרך",365.5,200.576923076923,184.615384615385,"בדרך",0.00049,5.8642155754856,5.58646774291992,"mgpt_lc",4,9.37145589058029,6.45450085230339,1.07e-05,0.000537,4,4,9.56169438362122,5.22813177108765
"he",1,17,"כלל",367.84375,245.21875,238.09375,"כלל",0.000457,0.281447265940117,1.97115647792816,"mgpt_lc",3,5.8642155754856,9.37145589058029,0.00049,1.07e-05,4,4,5.58646774291992,9.56169438362122
"he",1,18,"כבעל",432.861111111111,247.75,188.611111111111,"כבעל",9.55e-06,6.11818979355712,13.0058597922325,"mgpt_lc",4,0.281447265940117,5.8642155754856,0.000457,0.00049,3,4,1.97115647792816,5.58646774291992
"he",1,19,"שני",352.771428571429,251.371428571429,210.685714285714,"שני",0.000933,5.57606444172889,7.08133840560913,"mgpt_lc",3,6.11818979355712,0.281447265940117,9.55e-06,0.000457,4,3,13.0058597922325,1.97115647792816
"he",1,20,"פנים,",403.78125,323.3125,252.53125,"פנים,",0.000209,8.37577064490286,14.1452066898346,"mgpt_lc",5,5.57606444172889,6.11818979355712,0.000933,9.55e-06,3,4,7.08133840560913,13.0058597922325
"he",1,21,"כיוון",458.857142857143,187.2,158.428571428571,"כיוון",0.000115,7.59926554932457,7.81314182281494,"mgpt_lc",5,8.37577064490286,5.57606444172889,0.000209,0.000933,5,3,14.1452066898346,7.08133840560913
"he",1,22,"שהוא",322.53125,199.6875,189.15625,"שהוא",0.00162,1.52793231160872,4.15902280807495,"mgpt_lc",4,7.59926554932457,8.37577064490286,0.000115,0.000209,5,5,7.81314182281494,14.1452066898346
"he",1,23,"מסתכל",413.25,266.333333333333,222.222222222222,"מסתכל",3.98e-05,12.566566485716,15.574836730957,"mgpt_lc",5,1.52793231160872,7.59926554932457,0.00162,0.000115,4,5,4.15902280807495,7.81314182281494
"he",1,24,"אל",216.454545454545,177.818181818182,161.181818181818,"אל",0.00229,3.41148516044635,6.78815650939941,"mgpt_lc",2,12.566566485716,1.52793231160872,3.98e-05,0.00162,5,4,15.574836730957,4.15902280807495
