"lang","trialid","ianum","ia","total_rt","gaze_rt","firstfix_rt","model_ia","freq","surp","ent","model","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_ent","prev2_ent"
"it",1,1,"Negli",341.578947368421,156.684210526316,144.289473684211,"Negli",0.000398,0,0,"mgpt_lc",5,NA,NA,NA,NA,NA,NA,NA,NA
"it",1,2,"antichi",572.023255813953,279.93023255814,180.023255813953,"antichi",2.88e-05,12.4326794767771,4.0437445640564,"mgpt_lc",7,0,NA,0.000398,NA,5,NA,0,NA
"it",1,3,"miti",523.90243902439,241.341463414634,205.609756097561,"miti",1.07e-05,7.33128878950477,7.42852763086557,"mgpt_lc",4,12.4326794767771,0,2.88e-05,0.000398,7,5,4.0437445640564,0
"it",1,4,"e",278,183.777777777778,176.666666666667,"e",0.0288,4.278876085127,5.91305351257324,"mgpt_lc",1,7.33128878950477,12.4326794767771,1.07e-05,2.88e-05,4,7,7.42852763086557,4.0437445640564
"it",1,5,"religioni",887.348837209302,326.116279069767,221.790697674419,"religioni",1.51e-05,8.88936819763263,5.70513769239187,"mgpt_lc",9,4.278876085127,7.33128878950477,0.0288,1.07e-05,1,4,5.91305351257324,7.42852763086557
"it",1,6,"Romane,",644.375,268.15,220.9,"Romane,",8.91e-06,19.3122863369126,10.7414102554321,"mgpt_lc",7,8.88936819763263,4.278876085127,1.51e-05,0.0288,9,1,5.70513769239187,5.91305351257324
"it",1,7,"Giano",603.642857142857,351.047619047619,268.047619047619,"Giano",1.23e-06,12.6497839268133,13.202317237854,"mgpt_lc",5,19.3122863369126,8.88936819763263,8.91e-06,1.51e-05,7,9,10.7414102554321,5.70513769239187
"it",1,8,"è",273.875,193.125,193.125,"è",0.0126,4.58935469442055,4.63050413131714,"mgpt_lc",1,12.6497839268133,19.3122863369126,1.23e-06,8.91e-06,5,7,13.202317237854,10.7414102554321
"it",1,9,"il",347.178571428571,212.928571428571,212.928571428571,"il",0.0209,2.97784150239543,5.68676710128784,"mgpt_lc",2,4.58935469442055,12.6497839268133,0.0126,1.23e-06,1,5,4.63050413131714,13.202317237854
"it",1,10,"dio",315.4,217.942857142857,214.885714285714,"dio",0.000288,1.27590754070284,4.84536933898926,"mgpt_lc",3,2.97784150239543,4.58935469442055,0.0209,0.0126,2,1,5.68676710128784,4.63050413131714
"it",1,11,"degli",532.292682926829,235.829268292683,200.80487804878,"degli",0.00138,4.95759883649758,4.19687032699585,"mgpt_lc",5,1.27590754070284,2.97784150239543,0.000288,0.0209,3,2,4.84536933898926,5.68676710128784
"it",1,12,"inizi",947.767441860465,276.93023255814,250.604651162791,"inizi",2.88e-05,9.75859474139181,6.72356081008911,"mgpt_lc",5,4.95759883649758,1.27590754070284,0.00138,0.000288,5,3,4.19687032699585,4.84536933898926
"it",1,13,"e",306.769230769231,194.192307692308,194.192307692308,"e",0.0288,1.6565872164772,3.57627177238464,"mgpt_lc",1,9.75859474139181,4.95759883649758,2.88e-05,0.00138,5,5,6.72356081008911,4.19687032699585
