"lang","trialid","ianum","ia","total_rt","gaze_rt","firstfix_rt","model_ia","freq","surp","ent","model","len","prev_surp","prev2_surp","prev_freq","prev2_freq","prev_len","prev2_len","prev_ent","prev2_ent"
"sp",1,1,"En",196.04,150.24,145.68,"En",0.0282,0,0,"mgpt_lc",2,NA,NA,NA,NA,NA,NA,NA,NA
"sp",1,2,"las",401.264705882353,229,205.235294117647,"las",0.00977,6.89630719489979,10.3963851928711,"mgpt_lc",3,0,NA,0.0282,NA,2,NA,0,NA
"sp",1,3,"antiguas",1145.45945945946,223.243243243243,178.594594594595,"antiguas",1.95e-05,9.71492774332981,8.55307865142822,"mgpt_lc",8,6.89630719489979,0,0.00977,0.0282,3,2,10.3963851928711,0
"sp",1,4,"mitología",1103.97297297297,320.756756756757,205.648648648649,"mitología",4.17e-06,15.8867612440212,9.65597075223923,"mgpt_lc",9,9.71492774332981,6.89630719489979,1.95e-05,0.00977,8,3,8.55307865142822,10.3963851928711
"sp",1,5,"y",233.875,200.125,200.125,"y",0.0275,5.63912787222489,4.59882402420044,"mgpt_lc",1,15.8867612440212,9.71492774332981,4.17e-06,1.95e-05,9,8,9.65597075223923,8.55307865142822
"sp",1,6,"religión",862.028571428571,317.885714285714,234.485714285714,"religión",4.68e-05,3.56415402099671,6.4922661781311,"mgpt_lc",8,5.63912787222489,15.8867612440212,0.0275,4.17e-06,1,9,4.59882402420044,9.65597075223923
"sp",1,7,"romana,",609.361111111111,325.138888888889,236.361111111111,"romana,",9.77e-06,5.84557878952087,9.19729065895081,"mgpt_lc",7,3.56415402099671,5.63912787222489,4.68e-05,0.0275,8,1,6.4922661781311,4.59882402420044
"sp",1,8,"Jano",383.484848484848,280.727272727273,248.333333333333,"Jano",5.62e-07,18.2117790068692,8.55783438682556,"mgpt_lc",4,5.84557878952087,3.56415402099671,9.77e-06,4.68e-05,7,8,9.19729065895081,6.4922661781311
"sp",1,9,"es",357.592592592593,228.555555555556,216.777777777778,"es",0.0105,4.8145989942223,4.92617416381836,"mgpt_lc",2,18.2117790068692,5.84557878952087,5.62e-07,9.77e-06,4,7,8.55783438682556,9.19729065895081
"sp",1,10,"el",363.392857142857,240.928571428571,204.285714285714,"el",0.0282,1.7424313103382,4.03365421295166,"mgpt_lc",2,4.8145989942223,18.2117790068692,0.0105,5.62e-07,2,4,4.92617416381836,8.55783438682556
"sp",1,11,"dios",387.576923076923,219.884615384615,189.153846153846,"dios",0.000407,1.7519026139056,5.10301160812378,"mgpt_lc",4,1.7424313103382,4.8145989942223,0.0282,0.0105,2,2,4.03365421295166,4.92617416381836
"sp",1,12,"de",207.230769230769,173.230769230769,173.230769230769,"de",0.0646,1.19860916775168,4.16671800613403,"mgpt_lc",2,1.7519026139056,1.7424313103382,0.000407,0.0282,4,2,5.10301160812378,4.03365421295166
"sp",1,13,"los",302.44,233.2,217.52,"los",0.0151,2.49842141667971,2.21438360214233,"mgpt_lc",3,1.19860916775168,1.7519026139056,0.0646,0.000407,2,4,4.16671800613403,5.10301160812378
"sp",1,14,"comienzos",626.027777777778,281.555555555556,211.944444444444,"comienzos",2e-05,10.1403893877373,8.72364044189453,"mgpt_lc",9,2.49842141667971,1.19860916775168,0.0151,0.0646,3,2,2.21438360214233,4.16671800613403
"sp",1,15,"y",172.375,172.375,150,"y",0.0275,1.86800021195753,2.93609309196472,"mgpt_lc",1,10.1403893877373,2.49842141667971,2e-05,0.0151,9,3,8.72364044189453,2.21438360214233
"sp",1,16,"las",298.535714285714,199.178571428571,185.571428571429,"las",0.00977,4.75686539484791,5.09676647186279,"mgpt_lc",3,1.86800021195753,10.1403893877373,0.0275,2e-05,1,9,2.93609309196472,8.72364044189453
"sp",1,17,"puertas,",778.771428571428,421.571428571429,222.914285714286,"puertas,",5.25e-05,10.6920744535043,11.8997919559479,"mgpt_lc",8,4.75686539484791,1.86800021195753,0.00977,0.0275,3,1,5.09676647186279,2.93609309196472
"sp",1,18,"Él",302.933333333333,243.533333333333,220.066666666667,"Él",0.000575,14.9288650170287,6.67302322387695,"mgpt_lc",2,10.6920744535043,4.75686539484791,5.25e-05,0.00977,8,3,11.8997919559479,5.09676647186279
"sp",1,19,"tiene",485,288,226.371428571429,"tiene",0.00141,5.98120622935605,6.01048374176025,"mgpt_lc",5,14.9288650170287,10.6920744535043,0.000575,5.25e-05,2,8,6.67302322387695,11.8997919559479
"sp",1,20,"una",392.758620689655,272.310344827586,268.275862068966,"una",0.00891,2.77480418608454,5.14066219329834,"mgpt_lc",3,5.98120622935605,14.9288650170287,0.00141,0.000575,5,2,6.01048374176025,6.67302322387695
"sp",1,21,"doble",477.172413793103,290,216.620689655172,"doble",7.76e-05,5.30326493678463,7.89964199066162,"mgpt_lc",5,2.77480418608454,5.98120622935605,0.00891,0.00141,3,5,5.14066219329834,6.01048374176025
"sp",1,22,"naturaleza,",639.947368421053,419.21052631579,184.578947368421,"naturaleza,",8.32e-05,5.06958614867306,6.76525139808655,"mgpt_lc",11,5.30326493678463,2.77480418608454,7.76e-05,0.00891,5,3,7.89964199066162,5.14066219329834
"sp",1,23,"y",144.076923076923,134.307692307692,121.307692307692,"y",0.0275,4.90128147541542,6.89836978912354,"mgpt_lc",1,5.06958614867306,5.30326493678463,8.32e-05,7.76e-05,11,5,6.76525139808655,7.89964199066162
"sp",1,24,"generalmente",688.078947368421,363.552631578947,227.842105263158,"generalmente",5.01e-05,9.0293878154687,6.74149560928345,"mgpt_lc",12,4.90128147541542,5.06958614867306,0.0275,8.32e-05,1,11,6.89836978912354,6.76525139808655
"sp",1,25,"se",239.428571428571,214.285714285714,214.285714285714,"se",0.0115,1.96762883384301,5.47909927368164,"mgpt_lc",2,9.0293878154687,4.90128147541542,5.01e-05,0.0275,12,1,6.74149560928345,6.89836978912354
"sp",1,26,"lo",346.904761904762,245.857142857143,232.190476190476,"lo",0.00776,4.62697663530036,6.10235071182251,"mgpt_lc",2,1.96762883384301,9.0293878154687,0.0115,5.01e-05,2,12,5.47909927368164,6.74149560928345
"sp",1,27,"representa",660.783783783784,330.648648648649,206.972972972973,"representa",6.17e-05,2.06723899514354,4.96393775939941,"mgpt_lc",10,4.62697663530036,1.96762883384301,0.00776,0.0115,2,2,6.10235071182251,5.47909927368164
"sp",1,28,"con",234.25,222.75,193.35,"con",0.00933,2.16656322083433,3.63646125793457,"mgpt_lc",3,2.06723899514354,4.62697663530036,6.17e-05,0.00776,10,2,4.96393775939941,6.10235071182251
"sp",1,29,"dos",390.28125,270.6875,241.5,"dos",0.00132,2.83886765559157,3.96213746070862,"mgpt_lc",3,2.16656322083433,2.06723899514354,0.00933,6.17e-05,3,10,3.63646125793457,4.96393775939941
"sp",1,30,"caras,",436.705882352941,266.235294117647,227.323529411765,"caras,",2.63e-05,10.9314666824169,12.3190939426422,"mgpt_lc",6,2.83886765559157,2.16656322083433,0.00132,0.00933,3,3,3.96213746070862,3.63646125793457
"sp",1,31,"ya",330.333333333333,300,300,"ya",0.00214,6.68939484518181,5.71512985229492,"mgpt_lc",2,10.9314666824169,2.83886765559157,2.63e-05,0.00132,6,3,12.3190939426422,3.96213746070862
"sp",1,32,"que",325.071428571429,251.071428571429,231.714285714286,"que",0.0331,0.879928273955917,1.45782351493835,"mgpt_lc",3,6.68939484518181,10.9314666824169,0.00214,2.63e-05,2,6,5.71512985229492,12.3190939426422
"sp",1,33,"él",277.896551724138,221.172413793103,207.793103448276,"él",0.000575,5.27665933890464,6.39004755020142,"mgpt_lc",2,0.879928273955917,6.68939484518181,0.0331,0.00214,3,2,1.45782351493835,5.71512985229492
"sp",1,34,"mira",363.75,241.611111111111,217.527777777778,"mira",0.000155,12.8662057155136,4.65242099761963,"mgpt_lc",4,5.27665933890464,0.879928273955917,0.000575,0.0331,2,3,6.39004755020142,1.45782351493835
"sp",1,35,"hacia",293.727272727273,220.424242424242,198.454545454545,"hacia",0.000389,0.701162978963321,2.82107496261597,"mgpt_lc",5,12.8662057155136,5.27665933890464,0.000155,0.000575,4,2,4.65242099761963,6.39004755020142
"sp",1,36,"el",224,201.705882352941,201.705882352941,"el",0.0282,2.50796493457118,3.94573998451233,"mgpt_lc",2,0.701162978963321,12.8662057155136,0.000389,0.000155,5,4,2.82107496261597,4.65242099761963
"sp",1,37,"futuro",348.4375,251.3125,211.625,"futuro",0.000162,5.16452269504134,5.28362417221069,"mgpt_lc",6,2.50796493457118,0.701162978963321,0.0282,0.000389,2,5,3.94573998451233,2.82107496261597
"sp",1,38,"y",252.875,231.625,231.625,"y",0.0275,1.73350252632618,3.47215890884399,"mgpt_lc",1,5.16452269504134,2.50796493457118,0.000162,0.0282,6,2,5.28362417221069,3.94573998451233
"sp",1,39,"hacia",340.647058823529,244.647058823529,216.882352941176,"hacia",0.000389,4.83573414653736,7.31008625030518,"mgpt_lc",5,1.73350252632618,5.16452269504134,0.0275,0.000162,1,6,3.47215890884399,5.28362417221069
"sp",1,40,"el",491.4,336.133333333333,257.4,"el",0.0282,1.25739358195323,3.28357076644897,"mgpt_lc",2,4.83573414653736,1.73350252632618,0.000389,0.0275,5,1,7.31008625030518,3.47215890884399
"sp",1,41,"pasado.",573.75,309.805555555556,249.805555555556,"pasado.",0.000355,1.1469708782957,4.50783348083496,"mgpt_lc",7,1.25739358195323,4.83573414653736,0.0282,0.000389,2,5,3.28357076644897,7.31008625030518
"sp",1,42,"Jano",416.65625,253.0625,209.875,"Jano",5.62e-07,3.42186597769567,5.54620744287968,"mgpt_lc",4,1.1469708782957,1.25739358195323,0.000355,0.0282,7,2,4.50783348083496,3.28357076644897
"sp",1,43,"presidía",674.305555555556,393.305555555556,214.444444444444,"presidía",6.76e-07,16.0548618309224,6.07143223285675,"mgpt_lc",8,3.42186597769567,1.1469708782957,5.62e-07,0.000355,4,7,5.54620744287968,4.50783348083496
"sp",1,44,"el",325,189.35,181,"el",0.0282,2.29621204312244,3.74748229980469,"mgpt_lc",2,16.0548618309224,3.42186597769567,6.76e-07,5.62e-07,8,4,6.07143223285675,5.54620744287968
"sp",1,45,"comienzo",547.864864864865,241.567567567568,175.081081081081,"comienzo",4.79e-05,5.69514543485088,8.27511215209961,"mgpt_lc",8,2.29621204312244,16.0548618309224,0.0282,6.76e-07,2,8,3.74748229980469,6.07143223285675
"sp",1,46,"y",183.666666666667,183.666666666667,183.666666666667,"y",0.0275,1.66488501421107,2.48492240905762,"mgpt_lc",1,5.69514543485088,2.29621204312244,4.79e-05,0.0282,8,2,8.27511215209961,3.74748229980469
"sp",1,47,"el",282.842105263158,215.315789473684,215.315789473684,"el",0.0282,1.61915743520107,3.88842535018921,"mgpt_lc",2,1.66488501421107,5.69514543485088,0.0275,4.79e-05,1,8,2.48492240905762,8.27511215209961
"sp",1,48,"final",343.151515151515,222.878787878788,181.060606060606,"final",0.000316,2.96405199390977,6.6268835067749,"mgpt_lc",5,1.61915743520107,1.66488501421107,0.0282,0.0275,2,1,3.88842535018921,2.48492240905762
"sp",1,49,"de",225.692307692308,177.384615384615,177.384615384615,"de",0.0646,0.730662974365903,2.09721446037292,"mgpt_lc",2,2.96405199390977,1.61915743520107,0.000316,0.0282,5,2,6.6268835067749,3.88842535018921
"sp",1,50,"los",294.535714285714,214.25,198.178571428571,"los",0.0151,2.39860584653537,2.97337532043457,"mgpt_lc",3,0.730662974365903,2.96405199390977,0.0646,0.000316,2,5,2.09721446037292,6.6268835067749
"sp",1,51,"conflictos,",526.594594594595,308.162162162162,219.135135135135,"conflictos,",2.82e-05,12.6622556723867,8.73361825942993,"mgpt_lc",11,2.39860584653537,0.730662974365903,0.0151,0.0646,3,2,2.97337532043457,2.09721446037292
"sp",1,52,"y",166.4,166.4,166.4,"y",0.0275,1.78310911713632,6.16405916213989,"mgpt_lc",1,12.6622556723867,2.39860584653537,2.82e-05,0.0151,11,3,8.73361825942993,2.97337532043457
"sp",1,53,"por",338.961538461538,259.423076923077,243.807692307692,"por",0.011,5.74701399593008,6.41635704040527,"mgpt_lc",3,1.78310911713632,12.6622556723867,0.0275,2.82e-05,1,11,6.16405916213989,8.73361825942993
"sp",1,54,"lo",332.636363636364,269.272727272727,257.590909090909,"lo",0.00776,0.87670724381016,2.87246584892273,"mgpt_lc",2,5.74701399593008,1.78310911713632,0.011,0.0275,3,1,6.41635704040527,6.16405916213989
"sp",1,55,"tanto",404.90625,249.71875,224,"tanto",0.000692,0.113737708951006,0.454721391201019,"mgpt_lc",5,0.87670724381016,5.74701399593008,0.00776,0.011,2,3,2.87246584892273,6.41635704040527
"sp",1,56,"la",269.217391304348,208.347826086957,201.913043478261,"la",0.0363,5.35753134535007,4.77256488800049,"mgpt_lc",2,0.113737708951006,0.87670724381016,0.000692,0.00776,5,2,0.454721391201019,2.87246584892273
"sp",1,57,"guerra",425.529411764706,266.617647058824,221.676470588235,"guerra",0.000309,3.17629311711686,7.86065673828125,"mgpt_lc",6,5.35753134535007,0.113737708951006,0.0363,0.000692,2,5,4.77256488800049,0.454721391201019
"sp",1,58,"y",206.857142857143,179.714285714286,156.714285714286,"y",0.0275,3.29644362087787,3.97881174087524,"mgpt_lc",1,3.17629311711686,5.35753134535007,0.000309,0.0363,6,2,7.86065673828125,4.77256488800049
"sp",1,59,"la",336.5625,230.0625,219.75,"la",0.0363,0.63476981556913,2.096435546875,"mgpt_lc",2,3.29644362087787,3.17629311711686,0.0275,0.000309,1,6,3.97881174087524,7.86065673828125
